no;username;name;tweet;language
45;kompasdata;Kompas Data;Transparansi rekam jejak calon merupakan jalan tengah antara kebutuhan publik akan hadirnya pemimpin daerah yang bersih dan pemenuhan hak politik seseorang untuk dicalonkan. #LitbangKompas #AdadiKompas #Pilkada2020 #Politik  https://t.co/Sr4yGy3FQA;in
46;headlinekaltim;headlinekaltim.co;Dewan Pimpinan Cabang Partai Demokrasi Indonesia Perjuangan (DPC PDIP) Kota Samarinda, menggelar acara penyerahan SK B1-KWK kepada pasangan calon Wali Kota dan Wakil Wali Kota Samarinda, Andi Harun- Rusmadi Wongso. #headlinekaltim #samarinda #pilkada2020  https://t.co/lasHhxu8uF;in
47;bawasluponorogo;BAWASLU PONOROGO;Jelang Pendaftaran Calon Bupati, Bawaslu Ponorogo Undang Ketua Parpol.  #bawaslujatim #bawasluponorogo #pilkada2020   https://t.co/gz0EVfVAF6;in
48;headlinekaltim;headlinekaltim.co;Sikap tegar dan besar hati ditunjukkan Ketua DPD Golkar Kutai Kartanegara (Kukar) Abdul Rasid. #headlinekaltim #kukar #pilkada2020  https://t.co/0QXd86TNjt;in
49;panwaslupatebon;Panwascam Patebon Kendal;Rapat Pleno Terbuka Rekapitulasi Daftar Pemilih Hasil Pemutakhiran (DPHP) Pemilihan Bupati Dan Wakil Bupati Kendal Tahun 2020 Kecamatan Patebon.  Kamis, 03 September 2020. #SalamAwas #Pilkada2020  https://t.co/3od73wxHoT;in
50;pdip_lampung;PDIP_Lampung;Resmi, DPD PDI Perjuangan serahkan B1 KWK Ke Eva-Deddy    https://t.co/wo377scZfF  @PDI_Perjuangan  #PDIPerjuangan #PDIPerjuanganLampung #PDIP #pilkada2020;in
51;pdip_lampung;PDIP_Lampung;PDI Perjuangan Siap Hantarkan Kemenangan Anna Fritz di Pilkada Metro   https://t.co/vzl7M4KGPm  @PDI_Perjuangan  #PDIPerjuangan #PDIPerjuanganLampung #PDIP #pilkada2020;in
52;pdip_lampung;PDIP_Lampung;Pilkada Lamtim : Pasangan Zaiful Bokhari-Sudibyo Terima B1 KWK Dari 3 Parpol   https://t.co/xLaoyno147  @PDI_Perjuangan  #PDIPerjuangan #PDIP #PDIPerjuanganLampung #pilkada2020;in
53;pusdalopsbantul;BPBD BANTUL;"Untuk mencegah penularan Covid-19, menjelang pembukaan pendaftaran bakal pasangan calon bupati &amp; wakil bupati Bantul pada Pemilihan Kepala Daerah Bantul 2020, BPBD Kabupaten Bantul lakukan disinfeksi, dilingkungan Komisi Pemilihan Umum Kabupaten Bantul #pilkada2020 #lawancovid19  https://t.co/h7MLd21xGX";in
54;pdip_lampung;PDIP_Lampung;[3 September 2020] Penyerahan B1 KWK Parpol Bakal Calon Kepala Daerah dan Wakil Kepala Daerah di  8 Kabupaten/ Kota.  @PDI_Perjuangan  #PDIPerjuangan #PDIPerjuanganLampung #pilkada2020 #SolidBergerak  https://t.co/lxJT1oA7dp;in
55;mataramnews_id;MataramNews;TNI Polri Siap Amankan Pilkada Serentak 2020 di NTB  https://t.co/P2UZs8lxCF  #NTB #pilkada2020;in
56;lampostco;Lampung Post (Official);Jelang Pendaftaran, Para Kandidat Balonkada di Lamsel Terima Form B1-KWK  #lamsel #lampungselatan #pilkada2020 #pilkada2020serentak #lampostco   https://t.co/5v1igYtbKY;in
57;bawaslu_ri;Bawaslu RI;Bagaimana dengan Pemilihan 2020? Mari bersama Bawaslu mengawasi proses pencalonan. Laporkan jika ada praktik-praktik yang melanggar aturan!   #BawasluMengawasi #CegahAwasiTindak #Pilkada2020;in
58;waktuindonesia_;WAKTUINDONESIA.ID;Bukan Nyalon! Mantan Ketua DPC @PDI_Perjuangan Nasir Akui Penyebab Posisinya Diganti  #pilkada2020   https://t.co/d0t3R14jNo;in
59;detikcom;detikcom;KPU Kota Magelang gelar live streaming saat pendaftaran bapaslon Pilkada, untuk menghindari kerumuman pendukung dan warga yang hendak menyaksikannya. #Pilkada2020 #Magelang  https://t.co/KjrI2pXnpO;in
60;lampostco;Lampung Post (Official);Polres Lampung Selatan mengungkap pelaku pembegalan yang mengakibatkan korban meninggal dunia di Desa Pulautengah, Kecamatan Palas  #pilkada2020 #pilkada2020serentak #pilkadaserentaklawancovid #lampostco   https://t.co/Uww4ykwWnT;in
